Tipo de gasto,Entidad,Apropiación a precios corrientes,Código de entidad,Código del sector,Sector
FUNCIONAMIENTO,Superintendencia de puertos y transporte,60447831028.0,2417,24.0,Transporte
INVERSIÓN,Superintendencia de puertos y transporte,37067526073.0,2417,24.0,Transporte
FUNCIONAMIENTO,Procuraduría general de la nación,1347128000000.0,2501,25.0,Organismos de control
INVERSIÓN,Procuraduría general de la nación,96802000000.0,2501,25.0,Organismos de control
FUNCIONAMIENTO,Defensoría del pueblo,1130439000000.0,2502,25.0,Organismos de control
INVERSIÓN,Defensoría del pueblo,122300000000.0,2502,25.0,Organismos de control
FUNCIONAMIENTO,Contraloría general de la república,1307041000000.0,2601,25.0,Organismos de control
INVERSIÓN,Contraloría general de la república,186701326884.0,2601,25.0,Organismos de control
FUNCIONAMIENTO,Fondo de bienestar social de la contraloría general de la república,148098000000.0,2602,25.0,Organismos de control
INVERSIÓN,Fondo de bienestar social de la contraloría general de la república,898818033.0,2602,25.0,Organismos de control
FUNCIONAMIENTO,Rama judicial,9097188000000.0,2701,27.0,Rama judicial
DEUDA,Rama judicial,17695578134.0,2701,27.0,Rama judicial
INVERSIÓN,Rama judicial,1300000000000.0,2701,27.0,Rama judicial
FUNCIONAMIENTO,Registraduría nacional del estado civil,3088135443035.0,2801,28.0,Registraduría
INVERSIÓN,Registraduría nacional del estado civil,158698049298.0,2801,28.0,Registraduría
FUNCIONAMIENTO,Fondo rotatorio de la registraduría,92500584478.0,2802,28.0,Registraduría
INVERSIÓN,Fondo rotatorio de la registraduría,171718456809.0,2802,28.0,Registraduría
FUNCIONAMIENTO,Fondo social de vivienda de la registraduría nacional del estado civil,14685380447.0,2803,28.0,Registraduría
FUNCIONAMIENTO,Consejo nacional electoral- cne,1056216131936.0,2804,28.0,Registraduría
INVERSIÓN,Consejo nacional electoral- cne,10646765998.0,2804,28.0,Registraduría
FUNCIONAMIENTO,Fiscalía general de la nación,6214415600000.0,2901,29.0,Fiscalía
DEUDA,Fiscalía general de la nación,173977914661.0,2901,29.0,Fiscalía
INVERSIÓN,Fiscalía general de la nación,206231750000.0,2901,29.0,Fiscalía
FUNCIONAMIENTO,Instituto nacional de medicina legal y ciencias forenses,389542913000.0,2902,29.0,Fiscalía
INVERSIÓN,Instituto nacional de medicina legal y ciencias forenses,114155647000.0,2902,29.0,Fiscalía
FUNCIONAMIENTO,Fondo especial para la administración de bienes de la fiscalía general de la nación,19569955000.0,2904,29.0,Fiscalía
